SEASON_ID,PLAYER_NAME,AGE,HEIGHT_IN,WEIGHT_LB,PTS,AST,REB,STL,BLK,TS_PCT,EFG_PCT,USG_PCT
2015-16,Stephen Curry,27,74,185,31.7,7.0,5.7,2.3,0.2,0.6707007447528774,0.6291079812206571,0.4303105734221101
2016-17,Stephen Curry,28,74,185,27.3,7.1,4.8,1.9,0.2,0.6245424597364568,0.5786802030456852,0.4093782982072388
2017-18,Stephen Curry,29,74,185,29.7,6.8,5.8,1.8,0.2,0.6735304789550072,0.6151832460732983,0.6840361494755957
2018-19,Stephen Curry,30,74,185,29.0,5.6,5.7,1.4,0.4,0.6405725393179007,0.606280193236715,0.4671816560852227
2019-20,Stephen Curry,31,74,185,26.9,8.5,6.7,1.3,0.5,0.5569819446745072,0.4740566037735849,8.610396577575417
2020-21,Stephen Curry,32,74,185,33.7,6.1,5.8,1.3,0.1,0.6555399937752879,0.6052631578947368,0.581297696148106
2021-22,Stephen Curry,33,74,185,26.5,6.6,5.5,1.4,0.4,0.6007435618425826,0.5527638190954774,0.5012556202442224
2022-23,Stephen Curry,34,74,185,30.6,6.5,6.3,1.0,0.4,0.6569907248368259,0.6166666666666666,0.5701021133461214
2023-24,Stephen Curry,35,74,185,29.1,5.6,4.9,0.8,0.4,0.6162120955446383,0.5744186046511628,0.4611994996518782
2024-25,Stephen Curry,36,74,185,27.5,6.7,5.0,1.3,0.5,0.6190347559877543,0.572139303482587,0.4744721525082426
2015-16,Kevin Durant,27,83,240,28.3,5.0,8.2,1.0,1.2,0.632260947274352,0.5699481865284974,0.4250283601256147
2016-17,Kevin Durant,28,83,240,27.0,5.2,8.9,1.1,1.7,0.6506651243493349,0.5955056179775281,0.4802482032306269
2017-18,Kevin Durant,29,83,240,27.7,5.7,7.2,0.8,1.8,0.6390734588409007,0.58994708994709,0.4689938096157913
2018-19,Kevin Durant,30,83,240,27.0,6.1,6.6,0.8,1.1,0.6323777403035413,0.5706521739130436,0.3827857314546821
2020-21,Kevin Durant,32,83,240,29.3,6.1,7.7,0.8,1.4,0.6642183532825535,0.6063829787234043,0.9643134560750533
2021-22,Kevin Durant,33,83,240,28.9,6.2,7.2,0.8,0.9,0.6346626844694307,0.5714285714285714,0.5476509033204923
2022-23,Kevin Durant,34,83,240,29.7,5.3,6.7,0.8,1.5,0.6746320188987824,0.6063829787234043,0.8040112783045026
2022-23,Kevin Durant,34,83,240,27.8,3.7,6.8,0.3,1.3,0.697931311508335,0.6578947368421052,3.565281991169712
2022-23,Kevin Durant,34,83,240,29.4,5.1,6.7,0.7,1.4,0.675303197353914,0.6129032258064516,0.0
2023-24,Kevin Durant,35,83,240,26.2,4.9,6.4,0.9,1.2,0.6261950286806882,0.5837837837837837,0.3711583536222031
2024-25,Kevin Durant,36,83,240,26.2,4.2,5.9,0.8,1.2,0.641905135241082,0.5949720670391062,0.4531330846021457
2015-16,Giannis Antetokounmpo,20,83,243,17.2,4.4,7.8,1.2,1.4,0.5662365025019752,0.5193798449612403,0.2831990610898967
2016-17,Giannis Antetokounmpo,21,83,243,23.2,5.5,8.9,1.7,1.9,0.6014102032351721,0.5408805031446542,0.3556861049922145
2017-18,Giannis Antetokounmpo,22,83,243,26.3,4.7,9.8,1.4,1.4,0.5978359701763957,0.5464480874316939,0.404746834470549
2018-19,Giannis Antetokounmpo,23,83,243,30.4,6.5,13.7,1.4,1.7,0.6435224386113463,0.6,0.4898550709645918
2019-20,Giannis Antetokounmpo,24,83,243,34.9,6.6,16.1,1.1,1.2,0.612452618278815,0.5901287553648068,0.7025205669606533
2020-21,Giannis Antetokounmpo,25,83,243,30.7,6.4,12.0,1.3,1.3,0.6323117482287033,0.5989847715736041,0.5799251747065788
2021-22,Giannis Antetokounmpo,26,83,243,32.7,6.3,12.7,1.2,1.5,0.6337209302325582,0.5862068965517241,0.5670790877738913
2022-23,Giannis Antetokounmpo,27,83,243,34.8,6.4,13.2,0.9,0.9,0.6056808688387636,0.5726872246696035,0.6840190569777675
2023-24,Giannis Antetokounmpo,28,83,243,31.2,6.7,11.8,1.2,1.1,0.64891846921797,0.6223958333333334,0.4600222756194513
2024-25,Giannis Antetokounmpo,29,83,243,32.0,6.8,12.6,0.9,1.2,0.6253908692933083,0.6086956521739131,0.5491622923239038
2015-16,Nikola Jokic,20,83,284,16.5,3.9,11.6,1.6,1.0,0.5803320202588633,0.536,0.4109094745055433
2016-17,Nikola Jokic,21,83,284,21.6,6.3,12.7,1.1,1.0,0.6405693950177936,0.6026490066225165,0.4127004692935065
2017-18,Nikola Jokic,22,83,284,20.4,6.8,11.8,1.3,0.9,0.6026943984873552,0.5503355704697988,0.3532315535505007
2018-19,Nikola Jokic,23,83,284,23.1,8.3,12.4,1.6,0.8,0.5909742120343839,0.5491329479768786,0.3937129451252743
2019-20,Nikola Jokic,24,83,284,22.4,7.9,11.0,1.3,0.7,0.6046210321744763,0.5636363636363636,0.4048060636108725
2020-21,Nikola Jokic,25,83,284,27.5,8.7,11.3,1.4,0.7,0.6483402489626556,0.6016042780748664,0.4231359468117544
2021-22,Nikola Jokic,26,83,284,29.1,8.5,14.8,1.6,0.9,0.6586094513851167,0.6178010471204187,0.4612428734260331
2022-23,Nikola Jokic,27,83,284,26.2,10.5,12.7,1.3,0.7,0.7036957455951869,0.6613924050632911,0.4179702602112984
2023-24,Nikola Jokic,28,83,284,27.4,9.3,12.8,1.4,0.9,0.6476928895612707,0.6102150537634409,0.3861683009185761
2024-25,Nikola Jokic,29,83,284,29.0,10.0,12.5,1.8,0.6,0.6629480614484272,0.62565445026178,0.4096855134256784
2016-17,Joel Embiid,22,84,280,28.7,3.0,11.1,1.2,3.5,0.5850456621004565,0.5102040816326531,1.6374342049426966
2017-18,Joel Embiid,23,84,280,27.2,3.7,13.0,0.8,2.1,0.5721016321723036,0.5125628140703518,0.6254151084860461
2018-19,Joel Embiid,24,84,280,29.4,3.9,14.6,0.8,2.0,0.593891402714932,0.5175,0.5521234298416915
2019-20,Joel Embiid,25,84,280,28.0,3.6,14.2,1.1,1.6,0.5913161006926845,0.513089005235602,0.7820233978358858
2020-21,Joel Embiid,26,84,280,33.0,3.3,12.2,1.1,1.6,0.6381497524752475,0.5465686274509804,0.7924535087551454
2021-22,Joel Embiid,27,84,280,32.6,4.5,12.5,1.2,1.6,0.6163969142338527,0.5334928229665072,0.58011092680904
2022-23,Joel Embiid,28,84,280,34.4,4.3,10.6,1.0,1.8,0.6547890970001523,0.5741626794258373,0.5785554292533029
2023-24,Joel Embiid,29,84,280,37.2,6.0,11.8,1.3,1.8,0.6445799833656779,0.561965811965812,1.081115215812573
2024-25,Joel Embiid,30,84,280,28.3,5.3,9.7,0.9,1.1,0.5807749138072567,0.482233502538071,2.130635613743142
2018-19,Shai Gilgeous-Alexander,20,78,195,14.7,4.5,3.8,1.6,0.7,0.5522993688007214,0.5042016806722689,0.3005987932301528
2019-20,Shai Gilgeous-Alexander,21,78,195,19.7,3.4,6.1,1.2,0.7,0.5683129471497808,0.5166666666666667,0.3470746211782037
2020-21,Shai Gilgeous-Alexander,22,78,195,25.3,6.3,5.1,0.8,0.7,0.623767258382643,0.5755813953488372,0.8411189843842511
2021-22,Shai Gilgeous-Alexander,23,78,195,25.4,6.1,5.2,1.3,0.9,0.5570175438596491,0.4923076923076924,0.5678371554554179
2022-23,Shai Gilgeous-Alexander,24,78,195,31.8,5.5,4.9,1.7,1.0,0.625,0.5315533980582523,0.4852643932382557
2023-24,Shai Gilgeous-Alexander,25,78,195,31.8,6.6,5.9,2.1,0.9,0.6347812200574896,0.5642857142857143,0.4614536893334979
2024-25,Shai Gilgeous-Alexander,26,78,195,34.4,6.7,5.3,1.8,1.1,0.6348737634726118,0.5673913043478261,0.4822390542538511
2020-21,Anthony Edwards,19,76,225,21.7,3.3,5.2,1.3,0.6,0.5254746222394421,0.4920212765957447,0.4163148176813149
2021-22,Anthony Edwards,20,76,225,22.4,4.0,5.0,1.5,0.7,0.5598880223955209,0.5247252747252747,0.3844944128908709
2022-23,Anthony Edwards,21,76,225,24.7,4.4,5.8,1.6,0.7,0.5656834005130084,0.5307692307692308,0.3752211127112779
2023-24,Anthony Edwards,22,76,225,26.6,5.3,5.6,1.3,0.5,0.5756578947368421,0.5222772277227723,0.4153923608296894
2024-25,Anthony Edwards,23,76,225,27.3,4.5,5.6,1.1,0.6,0.5953419399860432,0.5445544554455446,0.3897595423550035
2020-21,Tyrese Haliburton,20,77,185,15.5,6.4,3.6,1.6,0.6,0.5814825930372148,0.56640625,0.3747888766855256
2021-22,Tyrese Haliburton,21,77,185,14.9,7.8,4.1,1.8,0.7,0.5764469204580626,0.5458333333333333,0.3723867924471687
2021-22,Tyrese Haliburton,21,77,185,17.4,9.6,4.3,1.8,0.6,0.6280681490037539,0.5887096774193549,0.7699860453071056
2021-22,Tyrese Haliburton,21,77,185,15.8,8.4,4.2,1.8,0.7,0.5984848484848485,0.5619834710743803,0.0
2022-23,Tyrese Haliburton,22,77,185,22.2,11.2,3.9,1.7,0.5,0.6245779878460499,0.5869565217391305,0.4540599273240323
2023-24,Tyrese Haliburton,23,77,185,22.5,12.2,4.4,1.3,0.8,0.6039295683916684,0.5705882352941176,0.3996954956408515
2024-25,Tyrese Haliburton,24,77,185,20.0,9.9,3.8,1.5,0.7,0.6153088850603001,0.581081081081081,0.3157124230588215
2015-16,Devin Booker,18,78,206,17.9,3.4,3.2,0.8,0.3,0.5347753346080305,0.483108108108108,0.3916424005681091
2016-17,Devin Booker,19,78,206,22.8,3.5,3.3,0.9,0.3,0.5314189819131084,0.4735449735449735,0.3749800507153087
2017-18,Devin Booker,20,78,206,26.0,4.9,4.7,0.9,0.3,0.5634535367545076,0.5024630541871922,0.6079782565016624
2018-19,Devin Booker,21,78,206,27.3,7.0,4.3,0.9,0.2,0.5830343413634034,0.5198019801980198,0.5234581575162199
2019-20,Devin Booker,22,78,206,26.7,6.5,4.3,0.7,0.3,0.6177123820099945,0.5434782608695653,0.4285423872275113
2020-21,Devin Booker,23,78,206,27.2,4.6,4.5,0.8,0.3,0.588031822898651,0.5343137254901962,0.5124477414794519
2021-22,Devin Booker,24,78,206,28.0,5.1,5.3,1.2,0.4,0.5769864820309925,0.5321100917431192,0.489970250091419
2022-23,Devin Booker,25,78,206,28.9,5.7,4.7,1.0,0.4,0.6025854879065888,0.5454545454545455,0.6188777570514615
2023-24,Devin Booker,26,78,206,27.1,6.9,4.5,0.9,0.4,0.6117933899223407,0.546875,0.4361664043214807
2024-25,Devin Booker,27,78,206,24.8,6.8,3.9,0.9,0.2,0.589689937226555,0.5245901639344261,0.3737966881935896
2017-18,Donovan Mitchell,21,75,215,22.1,4.0,4.0,1.6,0.4,0.5415604783375809,0.5053763440860215,0.3960625163158272
2018-19,Donovan Mitchell,22,75,215,25.3,4.5,4.4,1.5,0.4,0.535563082133785,0.4952830188679245,0.4363504967313993
2019-20,Donovan Mitchell,23,75,215,25.2,4.5,4.6,1.1,0.2,0.5586096825678313,0.5147058823529412,0.4667986819202702
2020-21,Donovan Mitchell,24,75,215,28.5,5.6,4.8,1.1,0.3,0.5696354333226735,0.5180180180180181,0.679382486956588
2021-22,Donovan Mitchell,25,75,215,27.5,5.7,4.5,1.6,0.2,0.570539419087137,0.5319634703196348,0.5235083307010652
2022-23,Donovan Mitchell,26,75,215,28.4,4.5,4.3,1.5,0.4,0.6127027959958578,0.5673076923076923,0.4711054919352431
2023-24,Donovan Mitchell,27,75,215,27.1,6.2,5.2,1.9,0.6,0.5944025267590806,0.5445544554455446,0.5786754494227464
2024-25,Donovan Mitchell,28,75,215,27.4,5.7,5.2,1.5,0.3,0.5743753144390407,0.5305164319248826,0.4969860123582981
2015-16,Karl-Anthony Towns,19,84,248,20.6,2.2,11.8,0.8,1.9,0.589514652014652,0.5569620253164556,0.3372560877806582
2016-17,Karl-Anthony Towns,20,84,248,24.5,2.6,12.0,0.7,1.2,0.6173150574480951,0.5738636363636362,0.3244533462226328
2017-18,Karl-Anthony Towns,21,84,248,21.5,2.5,12.5,0.8,1.4,0.6437125748502994,0.596551724137931,0.2816670979251466
2018-19,Karl-Anthony Towns,22,84,248,26.6,3.7,13.5,0.9,1.8,0.6210310048561823,0.5698924731182795,0.4067863628719593
2019-20,Karl-Anthony Towns,23,84,248,28.1,4.6,11.5,1.0,1.3,0.6404996353026988,0.6005291005291006,0.863847432651628
2020-21,Karl-Anthony Towns,24,84,248,26.4,4.8,11.3,0.8,1.2,0.6109979633401222,0.5561497326203209,0.6161005413108852
2021-22,Karl-Anthony Towns,25,84,248,26.4,3.9,10.6,1.0,1.2,0.6379277015271602,0.5875706214689266,0.4030540810092824
2022-23,Karl-Anthony Towns,26,84,248,22.6,5.3,8.9,0.8,0.6,0.6160052333187963,0.5683229813664596,0.9548735253014462
2023-24,Karl-Anthony Towns,27,84,248,24.0,3.4,9.2,0.8,0.7,0.6253908692933083,0.5739644970414202,0.4830614068464104
2024-25,Karl-Anthony Towns,28,84,248,25.2,3.2,13.2,1.0,0.7,0.630126025205041,0.5804597701149425,0.3879146459674026
2019-20,Zion Williamson,19,78,284,29.1,2.7,8.1,0.9,0.5,0.6158990856755843,0.5902061855670104,1.6286057949068629
2020-21,Zion Williamson,20,78,284,29.3,4.0,7.8,1.0,0.7,0.650070997515087,0.6195652173913044,0.5254312128360323
2022-23,Zion Williamson,22,78,284,28.4,5.0,7.6,1.2,0.6,0.6516152716593244,0.6129943502824858,1.133907848533395
2023-24,Zion Williamson,23,78,284,26.1,5.7,6.6,1.3,0.8,0.6108406665418461,0.5758426966292135,0.4817681177727394
2024-25,Zion Williamson,24,78,284,30.9,6.7,9.1,1.6,1.1,0.6001398384089497,0.5704225352112676,1.4495784736931283
2016-17,Jamal Murray,19,76,215,16.5,3.5,4.4,1.0,0.5,0.5170468789170218,0.4798657718120805,0.4380471061169421
